Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
3/3/22,Ages_40-49_yrs,34974923,13.8,13.8,30070478,85.7,73.7,13.9,13.9,41.9,13.2,14.4,15.1,12596750,225989
3/3/22,Ages_25-39_yrs,53950194,21.2,21.2,45079432,78.9,65.9,20.9,20.9,34,16.1,21.6,23.3,15335090,348886
3/3/22,Race_eth_Hispanic,38905614,20.6,15.3,33127660,61,52,19.7,15.3,39.4,14.6,19.5,27.7,12437911,372408
3/3/22,Ages_16-17_yrs,5989804,2.4,2.4,5134627,71.4,61.2,2.4,2.4,26.9,1.5,2.5,4.1,1382265,61817
3/3/22,US,254050251,,100,216116517,76.5,65.1,,100,45.6,,100,,95113012,1499755
3/3/22,Age_known,254024514,99.9,99.9,216110563,,,99.9,99.9,45.6,99.9,99.9,99.9,95113012,1499755
3/3/22,Race_eth_NHNHOPI,601482,0.3,0.2,541405,64.8,58.3,0.3,0.3,43,0.3,0.3,0.6,220978,7848
3/3/22,Ages_12-17_yrs,17152472,6.8,6.8,14622055,67.8,57.8,6.8,6.8,21.7,3.3,7,13.1,3178283,196829
3/3/22,Sex_Female,131416589,52.2,51.7,112472625,78,66.7,52.4,52,47.8,54.7,52.5,56.3,51972536,842502
3/3/22,Ages_<5yrs,46649,0,0,17785,0.2,0.1,0,0,0,0,0,0,0,0
3/3/22,Ages_75+_yrs,22682908,8.9,8.9,19582918,95,85.5,9.1,9.1,68.8,14.2,9.4,5.5,13471909,81976
3/3/22,Sex_unknown,2259693,0.9,0.9,1530000,,,0.7,0.7,11.6,0.2,0.7,0.2,176309,2721
3/3/22,Race_eth_NHBlack,19358862,10.3,7.6,16850413,47,40.9,10,7.8,42.4,8.1,10.1,13.5,6909715,180935
3/3/22,Race_eth_known,188852162,99.9,74.3,167789255,,,99.9,77.6,52.6,99.9,99.9,99.9,84958927,1343361
3/3/22,Race_eth_NHMult_Oth,11249308,6,4.4,10002846,95,95,6,4.6,53.7,6,5.9,6.3,5105169,84223
3/3/22,Sex_Male,120373969,47.8,47.4,102113892,73.6,62.5,47.6,47.2,43.7,45.3,47.5,43.7,42964167,654532
3/3/22,Race_eth_NHAIAN,1728967,0.9,0.7,1431459,71,58.8,0.9,0.7,43,0.7,0.8,0.9,583030,11935
3/3/22,Age_unknown,25737,0,0,5954,,,0,0,0,0,0,0,0,0
3/3/22,Ages_18-24_yrs,23471834,9.2,9.2,19038604,76.7,62.2,8.8,8.8,29.3,5.9,9.1,11.4,5569747,170723
3/3/22,Ages_5-11_yrs,9574772,3.8,3.8,7544710,33.3,26.2,3.5,3.5,0,0,0,0,0,0
3/3/22,Race_eth_NHWhite,104404151,55.3,41.1,94436618,52.9,47.9,56.3,43.7,57.5,61.9,56.7,41.5,52625772,557002
3/3/22,Race_eth_NHAsian,12603778,6.7,5,11398854,66.4,60,6.8,5.3,66.3,8.3,6.6,9.6,7076352,129010
3/3/22,Ages_50-64_yrs,58691683,23.1,23.1,51072711,92.2,80.2,23.6,23.6,51,27.4,24.5,23,26056567,344328
3/2/22,Ages_5-11_yrs,9564042,3.8,3.8,7527881,33.3,26.2,3.5,3.5,0,0,0,0,0,0
3/2/22,Ages_16-17_yrs,5988226,2.4,2.4,5132934,71.4,61.2,2.4,2.4,26.9,1.5,2.5,4.2,1379360,68448
3/2/22,Age_known,253971922,99.9,99.9,216055789,,,99.9,99.9,45.6,99.9,99.9,99.9,95023655,1644087
3/2/22,Ages_25-39_yrs,53937138,21.2,21.2,45067841,78.9,65.9,20.9,20.9,34,16.1,21.6,23.5,15315041,386417
3/2/22,Race_eth_NHAsian,12601095,6.7,5,11396554,66.3,60,6.8,5.3,66.3,8.3,6.6,9.7,7070386,142774
3/2/22,Ages_50-64_yrs,58685227,23.1,23.1,51067350,92.2,80.2,23.6,23.6,51,27.4,24.5,23,26035372,378407
3/2/22,Ages_12-15_yrs,11159616,4.4,4.4,9483204,66,56.1,4.4,4.4,18.9,1.9,4.5,9.2,1789945,151994
3/2/22,Ages_<5yrs,46053,0,0,17326,0.2,0.1,0,0,0,0,0,0,0,0
3/2/22,Sex_known,251738341,99.9,99.1,214531872,,,99.9,99.3,45.8,99.9,99.9,99.9,94847467,1640963
3/2/22,Ages_65-74_yrs,33471040,13.2,13.2,29078483,95,91.2,13.5,13.5,65,19.9,13.9,8.5,18894932,139086
3/2/22,Race_eth_Hispanic,38890359,20.6,15.3,33112222,61,51.9,19.7,15.3,39.4,14.6,19.5,27.8,12417903,408110
3/2/22,Race_eth_NHWhite,104391231,55.3,41.1,94421042,52.9,47.8,56.3,43.7,57.5,62,56.7,41.5,52590872,608398
3/2/22,US,253997657,,100,216061742,76.5,65.1,,100,45.6,,100,,95023655,1644087
3/2/22,Sex_Male,120348928,47.8,47.4,102088126,73.6,62.5,47.6,47.2,43.7,45.3,47.5,43.4,42925122,711962
3/2/22,Ages_<12yrs,9615712,3.8,3.8,7546641,19.8,15.6,3.5,3.5,0,0,0,0,0,0
3/2/22,Race_eth_NHMult_Oth,11247080,6,4.4,9999958,95,95,6,4.6,53.7,6,5.9,6.3,5099965,91801
3/2/22,Race_eth_known,188811491,99.9,74.3,167743788,,,99.9,77.6,52.6,99.9,99.9,99.9,84879408,1467416
3/2/22,Ages_75+_yrs,22681410,8.9,8.9,19581803,95,85.5,9.1,9.1,68.8,14.2,9.4,5.2,13465442,85771
3/2/22,Race_eth_NHNHOPI,601133,0.3,0.2,541041,64.7,58.3,0.3,0.3,42.8,0.3,0.3,0.5,219569,7590
3/2/22,Race_eth_NHBlack,19352326,10.2,7.6,16842291,47,40.9,10,7.8,42.3,8.1,10.1,13.4,6898679,196014
3/2/22,Sex_Female,131389413,52.2,51.7,112443746,78,66.7,52.4,52,47.8,54.7,52.5,56.6,51922345,929001
3/2/22,Sex_unknown,2259316,0.9,0.9,1529870,,,0.7,0.7,11.6,0.2,0.7,0.2,176188,3124
3/2/22,Age_unknown,25735,0,0,5953,,,0,0,0,0,0,0,0,0
3/2/22,Ages_40-49_yrs,34969374,13.8,13.8,30065523,85.7,73.7,13.9,13.9,41.9,13.2,14.4,15.2,12583486,250392
3/2/22,Race_eth_unknown,65186118,34.5,25.7,48317852,,,28.8,22.4,21.5,12,29.2,12,10144247,176671
3/2/22,Race_eth_NHAIAN,1728267,0.9,0.7,1430680,71,58.7,0.9,0.7,42.9,0.7,0.8,0.9,582034,12729
3/2/22,Ages_18-24_yrs,23464179,9.2,9.2,19032010,76.7,62.2,8.8,8.8,29.2,5.9,9.1,11.2,5560077,183572
3/2/22,Ages_12-17_yrs,17147842,6.8,6.8,14616138,67.8,57.8,6.8,6.8,21.7,3.3,7,13.4,3169305,220442
3/1/22,Race_eth_NHWhite,104375869,55.3,41.1,94402785,52.9,47.8,56.3,43.7,57.4,62,56.7,41.4,52551982,636725
3/1/22,Race_eth_NHMult_Oth,11244502,6,4.4,9996903,95,95,6,4.6,53.6,6,5.9,6.2,5094415,95819
3/1/22,Age_known,253910953,99.9,99.9,215992632,,,99.9,99.9,45.5,99.9,99.9,99.9,94925716,1725183
3/1/22,Ages_<5yrs,45377,0,0,16782,0.2,0.1,0,0,0,0,0,0,0,0
3/1/22,Ages_65-74_yrs,33468268,13.2,13.2,29076312,95,91.2,13.5,13.5,64.9,19.9,13.9,8.4,18884329,145695
3/1/22,Sex_unknown,2258908,0.9,0.9,1529679,,,0.7,0.7,11.6,0.2,0.7,0.2,176024,3462
3/1/22,Ages_50-64_yrs,58678056,23.1,23.1,51061322,92.2,80.2,23.6,23.6,50.9,27.4,24.5,23.1,26012194,399273
3/1/22,Sex_Female,131357909,52.2,51.7,112410655,77.9,66.7,52.4,52,47.7,54.7,52.5,56.7,51868017,976601
3/1/22,Race_eth_NHBlack,19344251,10.2,7.6,16832202,46.9,40.8,10,7.8,42.3,8.1,10.1,13.4,6885741,205709
3/1/22,Race_eth_Hispanic,38873463,20.6,15.3,33094931,61,51.9,19.7,15.3,39.3,14.6,19.5,27.9,12395948,428668
3/1/22,Ages_16-17_yrs,5986426,2.4,2.4,5130944,71.4,61.2,2.4,2.4,26.8,1.4,2.5,4.1,1376153,70609
3/1/22,Ages_5-11_yrs,9551205,3.8,3.8,7508314,33.2,26.1,3.5,3.5,0,0,0,0,0,0
3/1/22,Ages_12-15_yrs,11155798,4.4,4.4,9478331,66,56,4.4,4.4,18.8,1.9,4.5,9.1,1783112,157399
3/1/22,Ages_40-49_yrs,34963079,13.8,13.8,30059824,85.7,73.7,13.9,13.9,41.8,13.2,14.4,15.3,12569373,264050
3/1/22,US,253936685,,100,215998585,76.5,65.1,,100,45.5,,100,,94925716,1725183
3/1/22,Race_eth_NHNHOPI,600889,0.3,0.2,540776,64.7,58.2,0.3,0.3,42.7,0.3,0.3,0.5,219177,8095
3/1/22,Age_unknown,25732,0,0,5953,,,0,0,0,0,0,0,0,0
3/1/22,Ages_18-24_yrs,23455662,9.2,9.2,19024489,76.7,62.2,8.8,8.8,29.2,5.8,9.1,11.1,5549456,191244
3/1/22,Race_eth_unknown,65171984,34.5,25.7,48307148,,,28.8,22.4,21.5,12,29.2,12.3,10133914,188463
3/1/22,Ages_25-39_yrs,53921830,21.2,21.2,45054354,78.8,65.9,20.9,20.9,33.9,16.1,21.6,23.6,15293116,407539
3/1/22,Race_eth_NHAsian,12598115,6.7,5,11393847,66.3,60,6.8,5.3,66.2,8.3,6.6,9.7,7063756,148465
3/1/22,Ages_75+_yrs,22679638,8.9,8.9,19580528,95,85.5,9.1,9.1,68.7,14.2,9.4,5.2,13457983,89374
3/1/22,Race_eth_known,188764653,99.9,74.3,167691335,,,99.9,77.6,52.6,99.9,99.9,99.9,84791802,1536720
3/1/22,Ages_<12yrs,9602196,3.8,3.8,7526528,19.8,15.5,3.5,3.5,0,0,0,0,0,0
3/1/22,Sex_Male,120319868,47.8,47.4,102058251,73.6,62.4,47.6,47.2,43.6,45.3,47.5,43.3,42881675,745120
3/1/22,Ages_12-17_yrs,17142224,6.8,6.8,14609275,67.7,57.7,6.8,6.8,21.6,3.3,7,13.2,3159265,228008
3/1/22,Sex_known,251677777,99.9,99.1,214468906,,,99.9,99.3,45.8,99.9,99.9,99.9,94749692,1721721
3/1/22,Race_eth_NHAIAN,1727564,0.9,0.7,1429891,70.9,58.7,0.9,0.7,42.8,0.7,0.8,0.9,580783,13239
2/28/22,Race_eth_unknown,65157325,34.5,25.7,48296505,,,28.8,22.4,21.5,12,29.2,12.4,10122401,197689
2/28/22,Ages_12-17_yrs,17136458,6.8,6.8,14602128,67.7,57.7,6.8,6.8,21.6,3.3,7,13,3148948,233485
